run_name,preset,run_id,timestamp,wavlm_variant,use_pantagruel,use_residual,fusion_dim,aug_types_enabled,finetune_scope,k_folds,max_len_s,batch_size,accum_steps,effective_batch,epochs_max,lr,weight_decay,dropout,hidden_dim,input_dropout,focal_gamma,n_total,n_healthy_target,oof_balanced_accuracy,oof_macro_f1,oof_macro_auc_ovr,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,mean_macro_auc_ovr,std_macro_auc_ovr,notes
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,25,2026-08-24T16:08:30,base_plus,False,True,800.0,signal,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.527417421288389,0.5253087024081172,0.7577257481844596,0.5241826923076923,0.063354367549317,0.5281294390647168,0.0453091136443919,0.7577215791555132,0.04061125574553,
pantagruel_wavlm_bp_residual_kfold_aug,pantagruel_wavlm_bp_residual,26,2026-08-24T16:27:42,base_plus,True,True,1824.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6026515420063807,0.5924704742226544,0.8024924332657043,0.6038141025641025,0.0347274476262053,0.5887533400896761,0.029895025613056,0.8066229547978858,0.0265773213941009,
pantagruel_wavlm_bp_kfold_aug,pantagruel_wavlm_bp,27,2026-08-24T16:42:50,base_plus,True,False,1792.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.57151388933647,0.546939026443527,0.7764556014083008,0.5733173076923077,0.0732785469210192,0.5426859541284542,0.0593524761811504,0.7960340836705277,0.0442121305238974,
pantagruel_solo_kfold_aug,pantagruel_solo,28,2026-08-24T16:53:30,,True,False,1024.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5408647803809095,0.507165326389788,0.7603909534676707,0.5433974358974358,0.0731228066704111,0.5127629917901633,0.0958062306000314,0.7664627295796553,0.0625748029486802,
wavlm_bp_solo_kfold_aug,wavlm_bp_solo,29,2026-08-24T17:05:41,base_plus,False,False,768.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.4621613870000967,0.450300460166064,0.6998224177349865,0.4655608974358974,0.0857140065736782,0.4464595894762775,0.0839531922601577,0.7008827201956691,0.0588621426648253,
residual_solo_kfold_aug,residual_solo,30,2026-08-25T09:29:59,,False,True,32.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.3220938738680673,0.2796700173938026,0.5165965494394352,0.3283814102564102,0.0844530831626093,0.2332613163419615,0.1535989517195782,0.5268798519473656,0.0949780455752428,
pantagruel_residual_kfold_aug,pantagruel_residual,31,2026-08-25T09:46:43,,True,True,1056.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5400303728529535,0.4990193486574309,0.7802656964154245,0.544775641025641,0.0392333091602787,0.4920031812647051,0.049849643151845,0.7896090256879458,0.0218469216139205,
wavlm_bp_residual_kfold_aug,wavlm_bp_residual,32,2026-08-25T09:59:19,base_plus,False,True,800.0,aucune,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.5161688311688312,0.4966962718225391,0.7387923503346723,0.5172916666666667,0.0328379227849505,0.4939187780208106,0.07115432433793,0.741855593622589,0.0168952486500704,
pantagruel_wavlm_bp_residual_kfold_aug,pantagruel_wavlm_bp_residual,33,2026-08-25T11:03:04,base_plus,True,True,1824.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6151143211627083,0.6024166180119691,0.8372094512371955,0.6137019230769231,0.0349563829318176,0.5993727707554347,0.0220499889074092,0.8500202650324533,0.0379558462717395,
pantagruel_wavlm_bp_kfold_aug,pantagruel_wavlm_bp,34,2026-08-25T11:31:05,base_plus,True,False,1792.0,h_vc,tete_fusion+proj_residu (encodeurs geles),5.0,4.0,8.0,2.0,16.0,30.0,0.0001,0.1,0.5,128.0,0.3,2.0,265.0,100.0,0.6213766878283007,0.6010518341026816,0.8480036590887818,0.6203685897435898,0.0662114636782744,0.5960861882882709,0.0536783962151356,0.8567931939060707,0.0250142601998645,
